Source,Target,Type,Id,Label,timeset,Weight,source station,target station
0,1,Undirected,0,,,1,louis blanc,jaures
1,2,Undirected,1,,,1,jaures,bolivar
2,3,Undirected,2,,,1,bolivar,buttes chaumont
3,4,Undirected,3,,,1,buttes chaumont,botzaris
4,5,Undirected,4,,,1,botzaris,place des fetes
5,6,Undirected,5,,,1,place des fetes,pre-saint-gervais
6,7,Undirected,6,,,1,pre-saint-gervais,danube
7,4,Undirected,7,,,1,danube,botzaris
8,9,Undirected,8,,,1,balard,lourmel
9,10,Undirected,9,,,1,lourmel,boucicaut
10,11,Undirected,10,,,1,boucicaut,felix faure
11,12,Undirected,11,,,1,felix faure,commerce
12,13,Undirected,12,,,1,commerce,la motte-picquet-grenelle
13,14,Undirected,13,,,1,la motte-picquet-grenelle,ecole militaire
14,15,Undirected,14,,,1,ecole militaire,la tour-maubourg
15,16,Undirected,15,,,1,la tour-maubourg,invalides
16,17,Undirected,16,,,1,invalides,concorde
17,18,Undirected,17,,,1,concorde,modeleine
18,19,Undirected,18,,,1,modeleine,opera
19,20,Undirected,19,,,1,opera,richelieu-drouot
20,21,Undirected,20,,,1,richelieu-drouot,grands boulevards
21,22,Undirected,21,,,1,grands boulevards,bonne nouvelle
22,23,Undirected,22,,,1,bonne nouvelle,strasbourg-saint-denis
23,24,Undirected,23,,,1,strasbourg-saint-denis,republique
24,25,Undirected,24,,,1,republique,saint-sebastien-froissart
25,26,Undirected,25,,,1,saint-sebastien-froissart,chemin vert
26,27,Undirected,26,,,1,chemin vert,bastille
27,28,Undirected,27,,,1,bastille,ledru-rollin
28,29,Undirected,28,,,1,ledru-rollin,faidherbe-chaligny
29,30,Undirected,29,,,1,faidherbe-chaligny,reuilly-diderot
30,31,Undirected,30,,,1,reuilly-diderot,montgallet
31,32,Undirected,31,,,1,montgallet,daumesnil
32,33,Undirected,32,,,1,daumesnil,michel bizot
33,34,Undirected,33,,,1,michel bizot,porte doree
34,35,Undirected,34,,,1,porte doree,porte de charenton
35,36,Undirected,35,,,1,porte de charenton,liberte
36,37,Undirected,36,,,1,liberte,charenton-ecoles
