Source,Target,Type,SourceStation,TargetStation
0,1,undirected,shibuya,omote-sando
1,2,undirected,omote-sando,gaiemmae
2,3,undirected,gaiemmae,aoyama-itchome
3,4,undirected,aoyama-itchome,akasaka-mitsuke
4,5,undirected,akasaka-mitsuke,tameike-sanno
5,6,undirected,tameike-sanno,toranomon
6,7,undirected,toranomon,shimbashi
7,8,undirected,shimbashi,ginza
8,9,undirected,ginza,kyobashi
9,10,undirected,kyobashi,nihombashi
10,11,undirected,nihombashi,mitsukoshimae
11,12,undirected,mitsukoshimae,kanda
12,13,undirected,kanda,suehirocho
13,14,undirected,suehirocho,ueno-hirokoji
14,15,undirected,ueno-hirokoji,ueno
15,16,undirected,ueno,inaricho
16,17,undirected,inaricho,tawaramachi
17,136,undirected,tawaramachi,asakusa
18,19,undirected,ogikubo,minami-asagaya
19,20,undirected,minami-asagaya,shin-koenji
20,21,undirected,shin-koenji,higashi-koenji
21,22,undirected,higashi-koenji,shin-nakano
22,23,undirected,shin-nakano,nakanoshimbashi
22,25,undirected,shin-nakano,nakano-sakaue
23,24,undirected,nakanoshimbashi,nakano-fujimicho
24,137,undirected,nakano-fujimicho,honancho
23,25,undirected,nakanoshimbashi,nakano-sakaue
25,26,undirected,nakano-sakaue,nishi-shinjuku
26,27,undirected,nishi-shinjuku,shinjuku
27,28,undirected,shinjuku,shinjuku-sanchome
28,29,undirected,shinjuku-sanchome,shinjuku-gyoemmae
29,30,undirected,shinjuku-gyoemmae,yotsuya-sanchome
30,31,undirected,yotsuya-sanchome,yotsuya
31,4,undirected,yotsuya,akasaka-mitsuke
4,32,undirected,akasaka-mitsuke,kokkai-gijidomae
32,33,undirected,kokkai-gijidomae,kasumigaseki
33,8,undirected,kasumigaseki,ginza
8,34,undirected,ginza,tokyo
34,35,undirected,tokyo,otemachi
35,36,undirected,otemachi,awajicho
36,37,undirected,awajicho,ochanomizu
37,38,undirected,ochanomizu,hongo-sanchome
38,39,undirected,hongo-sanchome,korakuen
39,40,undirected,korakuen,myogadani
40,41,undirected,myogadani,shin-otsuka
41,100,undirected,shin-otsuka,ikebukuro
42,43,undirected,naka-meguro,ebisu
43,44,undirected,ebisu,hiro-o
44,45,undirected,hiro-o,roppongi
45,46,undirected,roppongi,kamiyacho
46,6,undirected,kamiyacho,toranomon
6,33,undirected,toranomon,kasumigaseki
33,47,undirected,kasumigaseki,hibiya
47,8,undirected,hibiya,ginza
8,48,undirected,ginza,higashi-ginza
48,49,undirected,higashi-ginza,tsukiji
49,50,undirected,tsukiji,hatchobori
50,51,undirected,hatchobori,kayabacho
51,52,undirected,kayabacho,ningyocho
52,53,undirected,ningyocho,kodemmacho
53,54,undirected,kodemmacho,akihabara
54,55,undirected,akihabara,naka-okachimachi
55,15,undirected,naka-okachimachi,ueno
15,56,undirected,ueno,iriya
56,57,undirected,iriya,minowa
